,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
653,Bonthe,SL,78.93,broken clouds,7.5264,-12.505,Bonthe Holiday Village
662,Port Macquarie,AU,68.59,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
663,Dicabisagan,PH,77.67,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
664,Bridgetown,BB,79.29,broken clouds,13.1,-59.6167,Hilton Barbados Resort
665,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
668,Foso,GH,72.82,overcast clouds,5.7012,-1.2866,Pristina Cottage
669,Kaohsiung,TW,76.03,few clouds,22.6163,120.3133,御宿商旅-中山館
675,Bocas Del Toro,PA,76.66,moderate rain,9.3333,-82.25,Hotel Bocas del Toro
676,Sicuani,PE,66.09,broken clouds,-14.2694,-71.2261,Wilkamayu Hotel
677,Rosarito,MX,66.47,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
