,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Pedraza,CO,77.56,overcast clouds,10.1874,-74.915,Rincón Guajiro
484,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
486,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
495,Sola,VU,84.87,few clouds,-13.8833,167.55,Leumerus Bungalows
496,Buala,SB,83.35,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
497,Imbituba,BR,70.56,light rain,-28.24,-48.6703,Praia Hotel Imbituba
500,Bowen,AU,78.42,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
501,Santiago Del Estero,AR,78.71,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
503,Puerto Baquerizo Moreno,EC,72.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
504,Nanakuli,US,82.35,broken clouds,21.3906,-158.1547,Camp Pālehua
505,Crixas,BR,83.89,broken clouds,-14.5489,-49.9692,RISO HOTEL
507,Lafia,NG,77.94,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
509,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
510,Lockhart,US,75.18,overcast clouds,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
514,Hambantota,LK,73.74,moderate rain,6.1241,81.1185,Bungalow 63
521,Bhor,IN,65.53,clear sky,18.1667,73.85,Adventure Plus Resort & Park - Bhor
522,Roebourne,AU,74.86,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
524,Coahuayana,MX,83.61,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
529,Lata,PT,65.8,overcast clouds,40.1629,-8.3327,Casa Maquia
530,Matam,SN,82.4,clear sky,15.6175,-13.3303,Hotel Beelel Jeeri
532,Benito Juarez,MX,76.84,scattered clouds,19.385,-99.165,Hotel Beverly
535,Turbat,PK,76.82,clear sky,26.0023,63.044,Mubashar Quarters
544,Karratha,AU,75.45,light rain,-20.7377,116.8463,ibis Styles Karratha
546,Inverell,AU,66.67,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
547,Paragominas,BR,78.39,broken clouds,-2.9667,-47.4833,INOVA
554,Ciudad Bolivar,VE,82.6,broken clouds,8.1222,-63.5497,Hotel Edi
557,Faanui,PF,74.97,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
561,Meulaboh,ID,73.94,overcast clouds,4.1363,96.1285,Kost Pria
565,Sulangan,PH,81.86,overcast clouds,11.1373,123.7228,Maia's Beach Resort
566,Cairns,AU,79.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
567,Icatu,BR,84.63,light rain,-2.7758,-44.0658,Hotel Guaxenduba
569,Tanete,ID,75.18,light rain,-3.9443,119.7848,Wisma Tri Multi
573,Tabatinga,BR,80.69,scattered clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
576,Emerald,AU,74.34,overcast clouds,-23.5333,148.1667,Emerald Inn
577,Singaraja,ID,80.19,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
583,Ambilobe,MG,72.21,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
584,Diamantino,BR,81.93,overcast clouds,-14.4086,-56.4461,Hotel Delta
586,Pemangkat,ID,78.01,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
588,Salcedo,PH,77.32,overcast clouds,12.8105,121.4674,Ailyn Robiso's Boarding House
590,Colombo,LK,75.15,overcast clouds,6.9319,79.8478,Galle Face Hotel
591,Nuqui,CO,76.8,light rain,5.7125,-77.2708,Hotel Nuquimar
592,Majene,ID,78.49,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
593,Boundiali,CI,72.46,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
594,Itabira,BR,72.21,overcast clouds,-19.6192,-43.2269,Premium Executive Hotel
600,Los Llanos De Aridane,ES,69.12,clear sky,28.6585,-17.9182,Valle Aridane
601,Tautira,PF,76.05,overcast clouds,-17.7333,-149.15,Pension Oaoa
602,Santiago,CL,75.54,clear sky,-33.4569,-70.6483,Hotel Panamericano
603,Orocue,CO,82.06,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
608,Nishihara,JP,72.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
609,Huaquechula,MX,77.4,few clouds,18.7667,-98.55,Locales Guadalupe
610,Port Hedland,AU,69.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
612,Keelung,TW,74.57,overcast clouds,25.1283,121.7419,East Coast Star Boutique Hotel
613,Tucurui,BR,82.89,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
614,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
616,Mouila,GA,73.13,light rain,-1.8685,11.0559,Hôtel du Lac Bleu
617,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
618,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
621,Arucas,ES,78.82,overcast clouds,28.1198,-15.5233,Casa Mama Fela
622,Sambava,MG,71.83,broken clouds,-14.2667,50.1667,Melrose
623,Owando,CG,70.83,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
624,Pisco,PE,68.05,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
626,Hobyo,SO,80.38,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
629,Haapiti,PF,78.53,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
630,Rincon De La Victoria,ES,65.84,scattered clouds,36.7172,-4.2758,Fay Hotels Victoria Beach
631,Ewa Beach,US,82.35,light rain,21.3156,-158.0072,Base Lodging
633,Pimentel,PE,70.09,few clouds,-6.8367,-79.9342,Hotel Puerto del Sol
635,Sao Felix Do Xingu,BR,80.83,broken clouds,-6.6447,-51.995,Rio Xingu Camping
636,Matay,EG,66.67,clear sky,28.419,30.7792,Nag Aespen
641,Dalby,AU,68.99,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
649,Zabid,YE,78.55,clear sky,14.1951,43.3152,مغرب التريبه
651,Phalaborwa,ZA,68.63,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
